SEQ1	SEQ2	SCORE	dN	dS	OMEGA	N	S	kappa	t	LENGTH
B0A55_06983-T1	B0A55_07385-T1	25	0.021545	0.080166	0.268759	966.491395	431.508605	4.729576	0.118917	1890
B0A55_07382-T1	B0A55_07383-T1	816	0.006924	0.010282	0.673394	580.970305	196.029695	5.338455	0.023312	660
B0A55_07057-T1	B0A55_12328-T1	-299	0.004014	0.022993	0.174594	499.612472	88.387528	2.041731	0.020601	1025
B0A55_09182-T1	B0A55_12959-T1	485	0.000000	0.027658	0.000010	197.064562	36.935438	4.600000	0.013097	79
B0A55_08343-T1	B0A55_13624-T1	400	0.134324	0.315194	0.426162	184.533634	52.466366	1.226183	0.523092	81
B0A55_00522-T1	B0A55_10025-T1	-313	0.578772	1.544428	0.374749	79.528911	25.471089	2.414411	2.439069	214
B0A55_09043-T1	B0A55_10953-T1	648	0.006678	0.000000	99.000000	300.811973	119.188027	4.600000	0.014349	275
B0A55_00754-T1	B0A55_00760-T1	268	0.204251	0.394795	0.517361	257.299722	78.700278	1.173639	0.746646	221
B0A55_08529-T1	B0A55_11471-T1	906	0.000000	0.012701	0.000010	358.597916	79.402084	4.600000	0.006907	173
B0A55_05568-T1	B0A55_06615-T1	2936	0.028893	0.202689	0.142548	1111.715356	340.284644	2.643592	0.208870	498
B0A55_04482-T1	B0A55_11447-T1	1313	0.017741	0.081561	0.217524	456.452326	158.547674	5.893488	0.102582	206
B0A55_01854-T1	B0A55_12086-T1	1020	0.126915	0.710148	0.178716	449.112264	153.887736	1.990588	0.827275	216
B0A55_03469-T1	B0A55_11892-T1	3761	0.008366	0.087928	0.095149	1382.276189	408.723811	1.720545	0.079569	612
B0A55_04910-T1	B0A55_12976-T1	-207	0.537066	99.000000	0.005425	15.953239	2.046761	2.723771	35.199541	110
B0A55_02183-T1	B0A55_02184-T1	2964	0.019042	0.215218	0.088477	1117.275575	289.724425	2.397006	0.178313	469
B0A55_03780-T1	B0A55_12361-T1	3041	0.041095	0.130116	0.315832	1238.607014	480.392986	2.217722	0.197918	776
B0A55_01119-T1	B0A55_03114-T1	374	0.750355	4.243910	0.176808	1171.268532	286.731468	1.460462	4.312201	649
B0A55_02529-T1	B0A55_11240-T1	1166	0.015912	0.142357	0.111775	444.804847	134.195153	1.083309	0.135655	246
B0A55_05440-T1	B0A55_08136-T1	1415	0.006317	0.126440	0.049958	476.959883	165.040117	1.062220	0.111591	214
B0A55_05439-T1	B0A55_08135-T1	2146	0.010150	0.126181	0.080443	793.573766	253.426234	3.143338	0.114707	412
B0A55_01239-T1	B0A55_13556-T1	2932	0.010552	0.220276	0.047905	1336.201926	361.798074	3.538244	0.165716	884
B0A55_01244-T1	B0A55_11451-T1	1246	0.016475	0.257597	0.063957	430.357808	151.642192	4.712822	0.237901	195
B0A55_08579-T1	B0A55_10975-T1	2516	0.004270	0.043875	0.097319	939.512981	236.487019	6.954214	0.036703	392
B0A55_10189-T1	B0A55_11653-T1	2392	0.001630	0.007103	0.229447	1228.621488	424.378512	4.600000	0.009104	1205
B0A55_05151-T1	B0A55_13569-T1	6939	0.028003	0.209967	0.133371	2586.002375	770.997625	3.838473	0.209384	1121
B0A55_05153-T1	B0A55_11695-T1	1391	0.023428	0.197861	0.118404	607.123055	208.876945	2.088863	0.204236	427
B0A55_07130-T1	B0A55_13282-T1	627	0.004802	0.110033	0.043640	522.338705	113.661295	7.479676	0.070824	631
B0A55_07128-T1	B0A55_08149-T1	2340	0.024045	0.075015	0.320528	825.518532	260.481468	4.237297	0.108810	362
B0A55_10753-T1	B0A55_12020-T1	1437	0.013587	0.078157	0.173837	668.618607	162.381393	2.184128	0.078612	427
B0A55_09265-T1	B0A55_12505-T1	-29	1.363669	3.987620	0.341976	624.263570	203.736430	0.882082	6.027943	323
B0A55_07897-T1	B0A55_13361-T1	562	0.003929	0.268363	0.014641	255.269450	17.730550	4.600000	0.063310	92
B0A55_07898-T1	B0A55_13362-T1	1428	0.016722	0.162276	0.103048	544.585002	133.414998	3.334014	0.136092	230
B0A55_09869-T1	B0A55_09921-T1	1158	0.011805	0.088374	0.133578	427.191344	121.808656	4.045711	0.086380	195
B0A55_09868-T1	B0A55_09923-T1	4565	0.137032	0.243592	0.562546	2158.154461	604.845539	1.528528	0.481076	1014
B0A55_09866-T1	B0A55_09924-T1	963	0.020575	0.247303	0.083198	344.962133	99.037867	3.109587	0.213446	152
B0A55_01996-T1	B0A55_09927-T1	3751	0.001273	0.029321	0.043420	1572.275971	419.724029	7.246541	0.021549	936
B0A55_02056-T1	B0A55_13411-T1	604	0.010180	0.265060	0.038407	296.962343	24.037657	1.378080	0.087799	139
B0A55_02053-T1	B0A55_10302-T1	926	0.011576	0.060736	0.190602	348.317711	86.682289	3.868273	0.064117	146
B0A55_02052-T1	B0A55_10303-T1	3040	0.000946	0.187062	0.005056	1057.995443	322.004557	3.767498	0.133121	460
B0A55_04571-T1	B0A55_11572-T1	2444	0.023888	0.117651	0.203037	830.139542	342.860458	5.247224	0.153882	391
B0A55_04572-T1	B0A55_11573-T1	1912	0.005917	0.307400	0.019249	678.779804	173.220196	3.971047	0.201635	284
B0A55_06889-T1	B0A55_12627-T1	415	0.006992	0.045598	0.153331	143.791349	45.208651	4.600000	0.048678	63
B0A55_06413-T1	B0A55_09620-T1	1696	0.026193	0.175117	0.149574	757.593521	178.406479	2.427468	0.163736	378
B0A55_06318-T1	B0A55_12033-T1	4207	0.008872	0.131744	0.067346	1473.925108	443.074892	2.685944	0.111815	641
B0A55_12032-T1	B0A55_13237-T1	-281	0.380512	99.000000	0.003844	10.239517	1.760483	2.231966	44.546027	143
B0A55_12031-T1	B0A55_13236-T1	3510	0.032465	0.175035	0.185479	1317.775245	416.224755	3.100523	0.200062	591
B0A55_06247-T1	B0A55_11851-T1	1688	0.030466	0.079370	0.383841	670.390904	172.609096	1.877999	0.121437	284
B0A55_06249-T1	B0A55_11853-T1	2386	0.013244	0.229186	0.057789	763.387919	259.612081	6.706132	0.204135	341
B0A55_08345-T1	B0A55_12066-T1	279	0.000000	0.003935	0.000010	780.096411	254.903589	4.600000	0.002907	1305
B0A55_05658-T1	B0A55_08352-T1	2614	0.002003	0.112777	0.017764	999.662667	224.337333	7.718082	0.066919	408
B0A55_05657-T1	B0A55_08353-T1	1948	0.040605	0.237648	0.170861	688.832969	247.167031	4.324881	0.277913	314
B0A55_05656-T1	B0A55_08354-T1	1233	0.017273	0.173582	0.099508	439.654974	136.345026	6.749704	0.162818	192
B0A55_05652-T1	B0A55_11301-T1	2871	0.005531	0.246385	0.022447	1088.890847	210.109153	2.519397	0.133464	434
B0A55_05651-T1	B0A55_11300-T1	2612	0.007090	0.213683	0.033180	992.052489	189.947511	2.863656	0.120869	394
B0A55_07674-T1	B0A55_09859-T1	1647	0.027729	0.184295	0.150458	570.187183	155.812817	4.842725	0.183992	242
B0A55_07676-T1	B0A55_09861-T1	443	0.016290	0.070613	0.230690	186.247391	29.752609	3.379618	0.071317	72
B0A55_07677-T1	B0A55_09862-T1	1453	0.045137	0.158480	0.284810	583.135444	154.864556	2.826455	0.206763	251
B0A55_10173-T1	B0A55_10593-T1	1843	0.005227	0.045148	0.115778	768.421918	137.578082	4.636990	0.033868	370
B0A55_06807-T1	B0A55_13021-T1	2896	0.010356	0.038156	0.271408	972.905676	296.094324	2.742848	0.050528	423
B0A55_07678-T1	B0A55_09863-T1	9397	0.009829	0.174896	0.056199	3277.297154	1054.702846	3.127558	0.150053	1445
B0A55_06713-T1	B0A55_11952-T1	2077	0.000000	0.000000	99.000000	709.665832	250.334168	4.600000	0.000000	321
B0A55_02243-T1	B0A55_12620-T1	1784	0.007288	0.191577	0.038040	689.912068	156.087932	0.961681	0.123867	288
B0A55_08951-T1	B0A55_09699-T1	405	0.002162	0.022021	0.098195	463.135184	184.864816	4.656254	0.023483	734
B0A55_04432-T1	B0A55_06901-T1	-417	0.055568	0.134896	0.411936	188.441726	90.558274	7.007815	0.243950	570
B0A55_04431-T1	B0A55_06900-T1	1135	0.027493	0.078548	0.350017	426.722641	182.277359	3.330627	0.128323	258
B0A55_04430-T1	B0A55_06899-T1	1742	0.018436	0.092850	0.198559	605.333230	195.666770	6.128234	0.109842	267
B0A55_04419-T1	B0A55_04423-T1	2525	0.047718	0.141909	0.336257	953.145829	360.854171	3.434198	0.220755	475
B0A55_04418-T1	B0A55_04422-T1	4770	0.036683	0.173748	0.211131	1677.449977	671.550023	3.116759	0.227605	796
B0A55_04417-T1	B0A55_04421-T1	1708	0.017797	0.066794	0.266451	569.604105	219.395895	4.786058	0.094266	264
B0A55_04414-T1	B0A55_11605-T1	-202	0.929684	3.193143	0.291150	322.365159	70.634841	0.660846	4.009502	277
B0A55_04413-T1	B0A55_11606-T1	1902	0.022070	0.169530	0.130186	705.231531	191.768469	2.672346	0.160787	299
B0A55_08015-T1	B0A55_10796-T1	3146	0.016885	0.148548	0.113665	1139.348552	384.651448	5.742958	0.150348	514
B0A55_08028-T1	B0A55_13161-T1	2326	0.002850	0.001546	1.843178	879.226475	323.773525	4.600000	0.007497	659
B0A55_03098-T1	B0A55_06424-T1	1588	0.021857	0.134061	0.163036	558.120859	182.879141	5.601970	0.148647	247
B0A55_03097-T1	B0A55_06425-T1	5989	0.004750	0.163679	0.029018	2112.378364	629.621636	3.663188	0.123729	917
B0A55_06432-T1	B0A55_09210-T1	1089	0.008519	0.069936	0.121808	590.300494	165.699506	2.150456	0.065940	499
B0A55_08019-T1	B0A55_12422-T1	6261	0.008127	0.271174	0.029970	2289.136787	587.863213	2.717171	0.185628	960
B0A55_08020-T1	B0A55_12423-T1	1005	0.048102	0.284830	0.168880	425.878615	135.121385	1.805393	0.315360	211
B0A55_08022-T1	B0A55_12425-T1	1707	0.004743	0.123479	0.038408	634.575185	154.424815	20.773430	0.083945	273
B0A55_03102-T1	B0A55_06420-T1	1952	0.035504	0.137386	0.258424	693.242354	311.757646	4.488031	0.201325	337
B0A55_02609-T1	B0A55_11972-T1	876	0.014141	0.112034	0.126220	286.072448	97.927552	5.885245	0.117317	128
B0A55_02610-T1	B0A55_11973-T1	1541	0.019849	0.158283	0.125404	562.349547	172.650453	5.427564	0.157101	256
B0A55_09502-T1	B0A55_10341-T1	5008	0.012190	0.154779	0.078760	1903.295901	523.704099	4.589507	0.128876	925
B0A55_09503-T1	B0A55_10340-T1	2024	0.042601	0.071985	0.591813	871.085916	307.914084	3.086474	0.150826	523
B0A55_07550-T1	B0A55_11933-T1	1293	0.044163	0.237121	0.186248	536.431351	126.568649	1.031540	0.242998	228
B0A55_07551-T1	B0A55_11934-T1	2074	0.016678	0.293491	0.056825	667.347564	232.652436	3.379146	0.264704	300
B0A55_06023-T1	B0A55_06024-T1	1207	0.019254	0.144095	0.133623	473.565637	102.434363	2.938521	0.124367	195
B0A55_04373-T1	B0A55_06032-T1	960	0.002967	0.088369	0.033581	337.810765	97.189235	5.149453	0.066144	145
B0A55_04375-T1	B0A55_06034-T1	3377	0.023443	0.110286	0.212562	1278.288748	461.711252	2.669693	0.139460	758
B0A55_04376-T1	B0A55_06035-T1	-174	0.796798	3.432719	0.232119	102.255213	26.744787	2.865556	4.029863	144
B0A55_00537-T1	B0A55_10396-T1	2376	0.018679	0.144995	0.128824	868.860936	286.139064	5.505109	0.149916	416
B0A55_00536-T1	B0A55_10395-T1	2918	0.028969	0.115009	0.251887	1162.894994	448.105006	3.110699	0.158705	730
B0A55_03002-T1	B0A55_13627-T1	1052	0.058619	0.260611	0.224930	1247.607229	384.392771	2.542447	0.318586	1569
B0A55_03016-T1	B0A55_04390-T1	1164	0.017593	0.079399	0.221580	547.290287	127.709713	5.082620	0.087861	352
B0A55_04385-T1	B0A55_13416-T1	2736	0.027177	0.172235	0.157787	1033.254898	334.745102	6.304154	0.188016	530
B0A55_00561-T1	B0A55_13220-T1	1046	0.010549	0.122131	0.086371	382.427052	100.572948	19.256225	0.101349	162
B0A55_00560-T1	B0A55_11878-T1	1307	0.045085	0.293233	0.153752	556.497023	106.502977	1.631411	0.254842	224
B0A55_05707-T1	B0A55_12115-T1	2304	0.012301	0.167810	0.073301	901.823403	136.176597	3.760927	0.098106	346
B0A55_01467-T1	B0A55_05710-T1	1035	0.024317	0.066574	0.365259	690.195246	293.804754	3.488752	0.110801	844
B0A55_01455-T1	B0A55_01457-T1	1216	0.015801	0.269795	0.058566	512.365827	54.634173	1.070700	0.120825	189
B0A55_01446-T1	B0A55_01452-T1	2241	0.034478	0.157475	0.218941	936.340932	239.659068	3.025296	0.178631	412
B0A55_01445-T1	B0A55_01451-T1	955	0.035273	0.084112	0.419362	334.472575	133.527425	5.126903	0.147624	156
B0A55_01444-T1	B0A55_01450-T1	2668	0.029779	0.102331	0.291004	1012.045689	310.954311	3.222836	0.140494	451
B0A55_01436-T1	B0A55_08170-T1	1793	0.009779	0.174382	0.056077	618.085182	224.914818	3.945624	0.161087	295
B0A55_03195-T1	B0A55_08178-T1	1181	0.041792	0.093458	0.447175	468.261089	161.738911	3.497232	0.165168	216
B0A55_03894-T1	B0A55_13320-T1	584	0.015812	0.142369	0.111063	192.001059	95.998941	7.793009	0.173991	98
B0A55_03893-T1	B0A55_13321-T1	-122	1.647918	-nan	-nan	3.000000	0.000000	4.600000	-nan	56
B0A55_10837-T1	B0A55_12320-T1	6420	0.011468	0.225371	0.050886	2417.323217	693.676783	3.092385	0.177490	1072
B0A55_00590-T1	B0A55_09991-T1	3584	0.012307	0.273381	0.045017	1597.814022	439.185978	1.540553	0.205786	1188
B0A55_00586-T1	B0A55_09995-T1	828	0.000000	0.207068	0.000010	304.295555	79.704445	4.429649	0.128939	128
B0A55_00581-T1	B0A55_04660-T1	1480	0.025630	0.090093	0.284479	517.846132	190.153868	8.501163	0.128829	236
B0A55_00579-T1	B0A55_04659-T1	1185	0.003181	0.351791	0.009043	630.203630	140.796370	2.054950	0.200528	528
B0A55_00556-T1	B0A55_13617-T1	892	0.011492	0.313056	0.036709	350.850964	93.149036	4.490027	0.224276	150
B0A55_00557-T1	B0A55_11876-T1	4161	0.053184	0.234769	0.226537	1531.440922	646.559078	3.371730	0.321268	732
B0A55_03028-T1	B0A55_03032-T1	2057	0.021195	0.171854	0.123333	741.862301	224.137699	2.538220	0.168456	322
B0A55_03029-T1	B0A55_03033-T1	1585	0.026276	0.082086	0.320107	542.540068	210.459932	19.437921	0.125624	264
B0A55_03044-T1	B0A55_09787-T1	1845	0.017861	0.139658	0.127891	680.491846	198.508154	3.160962	0.136101	294
B0A55_09783-T1	B0A55_13671-T1	-39	1.066370	3.166068	0.336812	285.869580	68.130420	0.871963	4.411425	151
B0A55_06735-T1	B0A55_09785-T1	2640	0.032403	0.130367	0.248550	1011.297772	371.702228	5.151141	0.176197	594
B0A55_07180-T1	B0A55_11208-T1	1255	0.010099	0.083259	0.121297	399.275167	191.724833	5.190358	0.101499	198
B0A55_07115-T1	B0A55_09811-T1	4579	0.008143	0.238716	0.034113	1666.934126	418.065874	2.418929	0.163127	699
B0A55_07116-T1	B0A55_09810-T1	1959	0.044305	0.305464	0.145041	721.300762	217.699238	3.012595	0.314557	315
B0A55_07117-T1	B0A55_09809-T1	811	0.000000	0.509302	0.000010	312.984979	53.015021	4.098918	0.221317	122
B0A55_07119-T1	B0A55_09807-T1	1382	0.030333	0.200452	0.151325	522.151638	119.848362	3.786645	0.186273	226
B0A55_07125-T1	B0A55_12408-T1	-338	0.815927	0.781421	1.044159	38.745739	18.254261	0.408602	2.414629	199
B0A55_03124-T1	B0A55_10463-T1	1932	0.007364	0.161143	0.045699	682.767988	199.232012	2.459382	0.126302	294
B0A55_03126-T1	B0A55_10465-T1	3076	0.003458	0.105920	0.032645	1160.000479	225.999521	6.101229	0.060496	468
B0A55_04221-T1	B0A55_12984-T1	-1346	0.325841	1.708302	0.190739	32.245428	9.754572	13.219437	1.940759	695
B0A55_03123-T1	B0A55_10462-T1	2076	0.012848	0.187208	0.068627	785.147043	159.852957	2.647584	0.127025	315
B0A55_08211-T1	B0A55_13302-T1	1879	0.004462	0.134623	0.033143	674.645730	198.354270	2.996863	0.102107	292
B0A55_06522-T1	B0A55_13182-T1	780	0.034496	0.249774	0.138110	296.656741	90.343259	2.734018	0.254255	132
B0A55_06514-T1	B0A55_12490-T1	1896	0.021410	0.135893	0.157548	710.722725	204.277275	2.050819	0.140906	306
B0A55_06513-T1	B0A55_12491-T1	1956	0.030423	0.245427	0.123960	754.977433	241.022567	2.607784	0.247356	388
B0A55_06511-T1	B0A55_13199-T1	599	0.053666	0.247461	0.216865	329.391775	75.608225	4.611236	0.269534	209
B0A55_04518-T1	B0A55_12916-T1	2485	0.028315	0.130558	0.216880	901.378108	304.621892	4.432144	0.162422	402
B0A55_05182-T1	B0A55_09768-T1	833	0.003924	0.016209	0.242058	767.018388	249.981612	4.600000	0.020830	1013
B0A55_05409-T1	B0A55_06743-T1	672	0.003039	0.158152	0.019216	329.841573	36.158427	47.324696	0.055090	163
B0A55_05408-T1	B0A55_06744-T1	2323	0.009782	0.097405	0.100426	823.365448	232.634552	3.884177	0.087256	352
B0A55_05407-T1	B0A55_06745-T1	1186	0.013719	0.068221	0.201097	441.911146	155.088854	7.614444	0.083633	258
B0A55_01887-T1	B0A55_08299-T1	1963	0.034234	0.296891	0.115310	784.469961	163.530039	1.476214	0.238628	338
B0A55_01892-T1	B0A55_13740-T1	-412	0.816230	2.542987	0.320973	49.003085	22.996915	1.376542	4.103277	236
B0A55_01916-T1	B0A55_12189-T1	840	0.051131	0.078683	0.649843	284.309340	135.690660	4.872256	0.180097	142
B0A55_01917-T1	B0A55_12190-T1	552	0.027264	0.076983	0.354161	243.255881	116.744119	5.995201	0.130163	203
B0A55_12191-T1	B0A55_12283-T1	1434	0.001645	0.077693	0.021176	608.477173	123.522827	2.237907	0.043434	369
B0A55_08300-T1	B0A55_08316-T1	460	0.008068	0.101163	0.079755	498.972831	128.027169	5.451338	0.081232	647
B0A55_08303-T1	B0A55_09658-T1	2351	0.005565	0.085252	0.065281	901.846231	190.153769	0.634055	0.058324	377
B0A55_02831-T1	B0A55_08532-T1	2921	0.011682	0.177034	0.065987	1035.285786	305.714214	1.793447	0.148134	447
B0A55_08712-T1	B0A55_10425-T1	3127	0.000000	0.000000	99.000000	1069.647073	475.352927	4.600000	0.000000	675
B0A55_00388-T1	B0A55_08537-T1	238	0.488601	3.872204	0.126182	587.322932	174.677068	1.514021	3.792723	446
B0A55_02828-T1	B0A55_08534-T1	4177	0.027905	0.200774	0.138985	1613.780787	477.219213	3.630326	0.202073	781
B0A55_02827-T1	B0A55_08535-T1	5661	0.042391	0.160790	0.263642	2124.574738	638.425262	2.579208	0.209246	927
B0A55_02826-T1	B0A55_08536-T1	579	0.009146	0.079549	0.114977	220.002933	52.997067	4.600000	0.068441	91
B0A55_07563-T1	B0A55_10838-T1	1557	0.007285	0.046000	0.158373	552.076834	179.923166	3.425299	0.050403	245
B0A55_03838-T1	B0A55_03842-T1	3663	0.021090	0.142501	0.147997	1494.475750	494.524250	6.019639	0.153828	1007
B0A55_03832-T1	B0A55_03836-T1	1369	0.028409	0.189207	0.150147	672.735272	152.264728	1.583841	0.174259	505
B0A55_03830-T1	B0A55_03833-T1	542	0.031990	0.179437	0.178280	191.769417	90.230583	3.262529	0.237504	94
B0A55_03827-T1	B0A55_13542-T1	1142	0.004730	0.064541	0.073294	424.195040	82.804960	1.733177	0.043497	170
B0A55_03826-T1	B0A55_10886-T1	4009	0.006549	0.154379	0.042422	1380.775833	416.224167	4.607557	0.122369	600
B0A55_04864-T1	B0A55_06868-T1	999	0.043553	0.291594	0.149362	423.511802	77.488198	1.560865	0.245750	177
